PLAYER_ID,PLAYER_NAME,TEAM_ID,GP,MIN,PTS,AST,REB,STL,BLK,TOV
201569,Eric Gordon,1610612756,4,62.236666666666665,47,8,7,1,1,4
1630647,Eugene Omoruyi,1610612764,3,36.0,38,1,9,6,0,2
203095,Evan Fournier,1610612765,4,75.73666666666666,42,2,9,1,0,1
1630596,Evan Mobley,1610612739,3,67.11666666666666,39,3,21,2,3,3
1630196,Filip Petrusev,1610612758,3,39.56666666666667,15,5,10,0,1,1
1628373,Frank Ntilikina,1610612766,4,65.46666666666667,12,11,6,5,2,3
1630532,Franz Wagner,1610612753,3,52.88333333333333,46,8,9,2,2,0
1627832,Fred VanVleet,1610612745,4,93.61666666666666,48,15,7,10,3,5
1627788,Furkan Korkmaz,1610612755,1,19.6,8,2,2,0,0,1
1641713,GG Jackson,1610612763,4,56.233333333333334,26,1,5,0,2,3
1629216,Gabe Vincent,1610612747,3,58.083333333333336,25,7,1,0,0,3
202066,Garrett Temple,1610612761,3,29.016666666666666,4,2,3,0,1,2
1629726,Garrison Mathews,1610612737,5,57.21666666666667,33,3,9,1,0,4
203914,Gary Harris,1610612753,2,33.43333333333333,12,4,4,2,2,1
1627780,Gary Payton II,1610612744,5,83.845,24,5,11,8,3,3
1629018,Gary Trent Jr.,1610612761,3,63.61666666666667,41,7,6,5,1,6
1642022,George Conditt IV,1610612757,1,8.75,2,0,3,2,2,0
1627777,Georges Niang,1610612739,4,79.33333333333333,29,5,11,3,3,5
203507,Giannis Antetokounmpo,1610612749,3,67.45,60,7,25,5,4,11
1629048,Goga Bitadze,1610612753,4,53.65,27,6,15,1,5,4
202330,Gordon Hayward,1610612760,2,48.1,26,4,8,3,1,1
1641711,Gradey Dick,1610612761,4,66.48833333333333,29,4,9,4,0,5
1629684,Grant Williams,1610612766,4,86.61666666666666,25,10,20,2,4,6
1628960,Grayson Allen,1610612756,4,92.95,47,15,10,6,2,10
1630535,Greg Brown III,1610612742,2,19.65,4,0,7,0,2,1
203084,Harrison Barnes,1610612758,5,110.58333333333333,42,8,10,5,1,1
1628385,Harry Giles III,1610612747,2,31.401666666666667,20,0,14,1,0,1
1629312,Haywood Highsmith,1610612748,4,96.7,37,6,7,6,2,1
1630929,Henri Drell,1610612741,1,4.75,0,1,0,0,0,0
1630529,Herbert Jones,1610612740,4,71.51666666666667,27,3,13,4,3,5
1641816,Hunter Tyson,1610612743,5,124.33166666666666,47,9,23,5,2,2
1630193,Immanuel Quickley,1610612761,2,45.3,30,4,1,6,0,5
1630171,Isaac Okoro,1610612739,4,88.02833333333334,35,13,14,2,1,4
1628392,Isaiah Hartenstein,1610612752,4,76.75,38,8,20,3,1,9
1630543,Isaiah Jackson,1610612754,4,48.55,12,2,15,1,3,5
1630198,Isaiah Joe,1610612760,4,65.39,45,3,7,2,0,2
1630600,Isaiah Mobley,1610612739,4,38.95,20,5,11,2,3,5
1629676,Isaiah Roby,1610612752,2,27.2,16,3,5,1,1,0
1630191,Isaiah Stewart,1610612765,4,87.425,42,6,18,2,6,5
1631209,Isaiah Wong,1610612754,3,22.466666666666665,4,4,2,0,0,2
1627826,Ivica Zubac,1610612746,4,65.65,26,2,22,0,5,2
1631167,Izaiah Brockington,1610612740,1,3.65,0,0,0,2,0,1
1631120,JD Davison,1610612738,3,37.7,9,10,4,1,0,1
1630550,JT Thor,1610612766,4,90.36666666666666,33,2,20,1,5,6
201580,JaVale McGee,1610612758,4,60.88333333333333,33,7,14,2,4,11
1631095,Jabari Smith Jr.,1610612745,5,125.46666666666667,72,7,38,2,2,9
1631133,Jabari Walker,1610612757,4,64.1,39,3,27,5,0,3
1631298,Jack White,1610612763,4,47.333333333333336,16,2,11,1,2,2
1631367,Jacob Gilyard,1610612751,5,93.1,17,27,13,7,1,8
1631210,Jacob Toppin,1610612752,1,9.666666666666666,4,0,2,0,2,0
1630702,Jaden Hardy,1610612742,3,56.68333333333333,44,7,10,3,0,9
1631093,Jaden Ivey,1610612765,4,89.68333333333334,48,13,16,3,2,13
1630183,Jaden McDaniels,1610612750,1,19.3,9,1,5,0,1,1
1630531,Jaden Springer,1610612738,4,79.29833333333333,41,5,15,5,2,4
203109,Jae Crowder,1610612749,4,90.29,37,8,21,2,0,3
1630256,Jae'Sean Tate,1610612745,5,75.365,29,6,18,6,0,1
1631170,Jaime Jaquez Jr.,1610612748,1,23.716666666666665,13,2,7,0,0,2
