GROUP_ID,GROUP_NAME,TEAM_ID,OFF_RATING,DEF_RATING,NET_RATING
-203992-1628981-1629726-1630552-1641723-,B. Bogdanovic - B. Fernando - G. Mathews - J. Johnson - K. Bufkin,1610612737,90.5,116.7,-26.2
-202083-203992-1627749-1630168-1630180-,W. Matthews - B. Bogdanovic - D. Murray - O. Okongwu - S. Bey,1610612737,102.6,106.8,-4.2
-203992-1627749-1629726-1630168-1630180-,B. Bogdanovic - D. Murray - G. Mathews - O. Okongwu - S. Bey,1610612737,120.5,117.5,3.0
-203991-203992-1627749-1629631-1629726-,C. Capela - B. Bogdanovic - D. Murray - D. Hunter - G. Mathews,1610612737,134.1,128.2,5.9
-202083-203992-1629027-1630168-1630552-,W. Matthews - B. Bogdanovic - T. Young - O. Okongwu - J. Johnson,1610612737,113.9,82.5,31.4
-203992-1627749-1629726-1630168-1630552-,B. Bogdanovic - D. Murray - G. Mathews - O. Okongwu - J. Johnson,1610612737,125.0,91.9,33.1
-201988-203992-1627749-1630168-1630180-,P. Mills - B. Bogdanovic - D. Murray - O. Okongwu - S. Bey,1610612737,95.2,130.6,-35.3
-202083-203991-1627749-1629027-1630180-,W. Matthews - C. Capela - D. Murray - T. Young - S. Bey,1610612737,108.3,144.7,-36.4
-203992-1628981-1629685-1629726-1630235-,B. Bogdanovic - B. Fernando - D. Windler - G. Mathews - T. Forrest,1610612737,133.3,97.1,36.2
-201988-203992-1630168-1630235-1630552-,P. Mills - B. Bogdanovic - O. Okongwu - T. Forrest - J. Johnson,1610612737,75.8,102.9,-27.2
-202083-203991-203992-1627749-1630249-,W. Matthews - C. Capela - B. Bogdanovic - D. Murray - V. Krejci,1610612737,100.0,111.4,-11.4
-203992-1629027-1630168-1630552-1631100-,B. Bogdanovic - T. Young - O. Okongwu - J. Johnson - A. Griffin,1610612737,102.6,110.5,-7.9
-203992-1627749-1629631-1630168-1630552-,B. Bogdanovic - D. Murray - D. Hunter - O. Okongwu - J. Johnson,1610612737,105.7,105.9,-0.2
-203992-1629027-1630168-1630180-1631100-,B. Bogdanovic - T. Young - O. Okongwu - S. Bey - A. Griffin,1610612737,129.4,127.8,1.6
-1627749-1629027-1629631-1630168-1630552-,D. Murray - T. Young - D. Hunter - O. Okongwu - J. Johnson,1610612737,124.3,138.5,-14.1
-1628981-1629726-1630235-1631100-1641754-,B. Fernando - G. Mathews - T. Forrest - A. Griffin - S. Lundy,1610612737,94.1,93.8,0.4
-203992-1628981-1629027-1629631-1630552-,B. Bogdanovic - B. Fernando - T. Young - D. Hunter - J. Johnson,1610612737,125.7,120.0,5.7
-201988-1627749-1629726-1630168-1630180-,P. Mills - D. Murray - G. Mathews - O. Okongwu - S. Bey,1610612737,93.8,103.1,-9.4
-203991-1627749-1629631-1629726-1630180-,C. Capela - D. Murray - D. Hunter - G. Mathews - S. Bey,1610612737,80.6,112.5,-31.9
-203992-1627749-1629027-1630180-1630552-,B. Bogdanovic - D. Murray - T. Young - S. Bey - J. Johnson,1610612737,131.3,120.0,11.3
-203991-203992-1629027-1629726-1630249-,C. Capela - B. Bogdanovic - T. Young - G. Mathews - V. Krejci,1610612737,175.0,113.8,61.2
-203992-1627749-1628981-1629027-1629631-,B. Bogdanovic - D. Murray - B. Fernando - T. Young - D. Hunter,1610612737,93.5,180.6,-87.1
-1627749-1628981-1629631-1629726-1630552-,D. Murray - B. Fernando - D. Hunter - G. Mathews - J. Johnson,1610612737,60.0,103.3,-43.3
-203992-1629027-1630168-1630180-1641754-,B. Bogdanovic - T. Young - O. Okongwu - S. Bey - S. Lundy,1610612737,130.8,133.3,-2.6
-203992-1627749-1628981-1629631-1630249-,B. Bogdanovic - D. Murray - B. Fernando - D. Hunter - V. Krejci,1610612737,136.0,112.5,23.5
-201988-203992-1630168-1630180-1630235-,P. Mills - B. Bogdanovic - O. Okongwu - S. Bey - T. Forrest,1610612737,107.4,125.9,-18.5
-203992-1627749-1628981-1629631-1630180-,B. Bogdanovic - D. Murray - B. Fernando - D. Hunter - S. Bey,1610612737,122.2,78.6,43.7
-1627749-1628981-1629631-1629726-1630235-,D. Murray - B. Fernando - D. Hunter - G. Mathews - T. Forrest,1610612737,125.9,133.3,-7.4
-201988-203991-203992-1627749-1630180-,P. Mills - C. Capela - B. Bogdanovic - D. Murray - S. Bey,1610612737,132.1,66.7,65.5
-203992-1627749-1629631-1630168-1631100-,B. Bogdanovic - D. Murray - D. Hunter - O. Okongwu - A. Griffin,1610612737,112.0,100.0,12.0
-202083-203992-1627749-1628981-1629726-,W. Matthews - B. Bogdanovic - D. Murray - B. Fernando - G. Mathews,1610612737,126.9,88.5,38.5
-203992-1627749-1629027-1629631-1630168-,B. Bogdanovic - D. Murray - T. Young - D. Hunter - O. Okongwu,1610612737,84.0,76.9,7.1
-202083-203992-1628981-1629685-1630235-,W. Matthews - B. Bogdanovic - B. Fernando - D. Windler - T. Forrest,1610612737,95.7,100.0,-4.3
-203992-1628981-1630249-1630552-1641723-,B. Bogdanovic - B. Fernando - V. Krejci - J. Johnson - K. Bufkin,1610612737,120.8,113.0,7.8
-203992-1627749-1629631-1629726-1630168-,B. Bogdanovic - D. Murray - D. Hunter - G. Mathews - O. Okongwu,1610612737,90.9,125.0,-34.1
-202083-203992-1627749-1629726-1630168-,W. Matthews - B. Bogdanovic - D. Murray - G. Mathews - O. Okongwu,1610612737,109.1,181.0,-71.9
-203992-1629027-1630168-1630235-1630552-,B. Bogdanovic - T. Young - O. Okongwu - T. Forrest - J. Johnson,1610612737,83.3,126.9,-43.6
-202083-203992-1627749-1629631-1630168-,W. Matthews - B. Bogdanovic - D. Murray - D. Hunter - O. Okongwu,1610612737,91.3,95.5,-4.2
-202083-1627749-1629027-1630168-1630180-,W. Matthews - D. Murray - T. Young - O. Okongwu - S. Bey,1610612737,131.8,143.5,-11.7
-203991-203992-1627749-1629027-1630168-,C. Capela - B. Bogdanovic - D. Murray - T. Young - O. Okongwu,1610612737,121.7,113.0,8.7
-1627749-1628981-1629027-1630180-1630552-,D. Murray - B. Fernando - T. Young - S. Bey - J. Johnson,1610612737,88.9,152.6,-63.7
-203992-1629027-1629631-1629726-1630552-,B. Bogdanovic - T. Young - D. Hunter - G. Mathews - J. Johnson,1610612737,112.5,84.0,28.5
-202083-203991-1627749-1630249-1630552-,W. Matthews - C. Capela - D. Murray - V. Krejci - J. Johnson,1610612737,113.6,131.8,-18.2
-202083-203992-1629027-1629726-1630168-,W. Matthews - B. Bogdanovic - T. Young - G. Mathews - O. Okongwu,1610612737,95.5,104.3,-8.9
-203992-1629726-1630168-1630235-1630552-,B. Bogdanovic - G. Mathews - O. Okongwu - T. Forrest - J. Johnson,1610612737,104.5,140.0,-35.5
-203991-203992-1627749-1629726-1630168-,C. Capela - B. Bogdanovic - D. Murray - G. Mathews - O. Okongwu,1610612737,95.0,126.3,-31.3
-202083-1629027-1629726-1630168-1630180-,W. Matthews - T. Young - G. Mathews - O. Okongwu - S. Bey,1610612737,105.0,109.5,-4.5
-203992-1628981-1629027-1630235-1630552-,B. Bogdanovic - B. Fernando - T. Young - T. Forrest - J. Johnson,1610612737,126.3,105.9,20.4
-202083-1628981-1629726-1630235-1630249-,W. Matthews - B. Fernando - G. Mathews - T. Forrest - V. Krejci,1610612737,94.1,87.5,6.6
-203992-1628981-1629027-1629631-1629726-,B. Bogdanovic - B. Fernando - T. Young - D. Hunter - G. Mathews,1610612737,105.0,128.6,-23.6
-203991-1627749-1629631-1630180-1630552-,C. Capela - D. Murray - D. Hunter - S. Bey - J. Johnson,1610612737,136.4,73.7,62.7
-203991-1627749-1629027-1629726-1630552-,C. Capela - D. Murray - T. Young - G. Mathews - J. Johnson,1610612737,110.5,122.2,-11.7
-201988-1627749-1629726-1630168-1630552-,P. Mills - D. Murray - G. Mathews - O. Okongwu - J. Johnson,1610612737,144.4,104.8,39.7
-203991-203992-1629726-1630552-1641723-,C. Capela - B. Bogdanovic - G. Mathews - J. Johnson - K. Bufkin,1610612737,72.2,100.0,-27.8
-203992-1627749-1628981-1629631-1629726-,B. Bogdanovic - D. Murray - B. Fernando - D. Hunter - G. Mathews,1610612737,131.3,100.0,31.3
-202083-203992-1629027-1630168-1631100-,W. Matthews - B. Bogdanovic - T. Young - O. Okongwu - A. Griffin,1610612737,155.6,150.0,5.6
-203992-1627749-1630180-1630552-1641723-,B. Bogdanovic - D. Murray - S. Bey - J. Johnson - K. Bufkin,1610612737,118.8,133.3,-14.6
