,GROUP_SET,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_ID,VS_PLAYER_NAME,COURT_STATUS,GP,MIN,PLUS_MINUS,OFF_RATING,DEF_RATING,NET_RATING
0,On/Off Court,1610612737,ATL,Atlanta Hawks,1630180,"Bey, Saddiq",On,63,2062.0,-0.4,118.6,119.1,-0.5
1,On/Off Court,1610612737,ATL,Atlanta Hawks,203992,"Bogdanović, Bogdan",On,79,2401.0,2.5,116.3,114.4,1.9
2,On/Off Court,1610612737,ATL,Atlanta Hawks,1641723,"Bufkin, Kobe",On,17,196.0,-8.6,97.1,105.0,-7.9
3,On/Off Court,1610612737,ATL,Atlanta Hawks,203991,"Capela, Clint",On,73,1883.0,-0.4,115.5,115.6,-0.1
4,On/Off Court,1610612737,ATL,Atlanta Hawks,1628981,"Fernando, Bruno",On,45,682.0,-6.8,107.5,113.9,-6.4
5,On/Off Court,1610612737,ATL,Atlanta Hawks,1630235,"Forrest, Trent",On,38,414.0,-10.9,103.3,114.3,-11.0
6,On/Off Court,1610612737,ATL,Atlanta Hawks,1631100,"Griffin, AJ",On,20,171.0,-14.3,106.0,120.1,-14.0
7,On/Off Court,1610612737,ATL,Atlanta Hawks,1631243,"Gueye, Mouhamed",On,6,73.0,-27.0,89.9,115.1,-25.2
8,On/Off Court,1610612737,ATL,Atlanta Hawks,1629631,"Hunter, De'Andre",On,57,1681.0,-1.4,116.7,117.9,-1.3
9,On/Off Court,1610612737,ATL,Atlanta Hawks,1630552,"Johnson, Jalen",On,56,1889.0,-1.9,113.3,115.2,-1.9
10,On/Off Court,1610612737,ATL,Atlanta Hawks,1630249,"Krejčí, Vít",On,22,541.0,0.1,117.4,117.7,-0.3
11,On/Off Court,1610612737,ATL,Atlanta Hawks,1641754,"Lundy, Seth",On,9,52.0,-12.0,102.7,114.4,-11.7
12,On/Off Court,1610612737,ATL,Atlanta Hawks,1629726,"Mathews, Garrison",On,66,992.0,-4.7,111.8,115.8,-4.0
13,On/Off Court,1610612737,ATL,Atlanta Hawks,202083,"Matthews, Wesley",On,36,413.0,-8.0,109.3,114.9,-5.6
14,On/Off Court,1610612737,ATL,Atlanta Hawks,201988,"Mills, Patty",On,19,202.0,-9.3,107.2,115.6,-8.5
15,On/Off Court,1610612737,ATL,Atlanta Hawks,1627749,"Murray, Dejounte",On,78,2783.0,-2.7,116.8,119.5,-2.7
16,On/Off Court,1610612737,ATL,Atlanta Hawks,1630168,"Okongwu, Onyeka",On,55,1405.0,-1.2,118.1,119.0,-0.9
17,On/Off Court,1610612737,ATL,Atlanta Hawks,1629685,"Windler, Dylan",On,6,73.0,-15.1,105.9,119.5,-13.6
18,On/Off Court,1610612737,ATL,Atlanta Hawks,1629027,"Young, Trae",On,54,1942.0,-2.9,116.6,119.1,-2.5
