game_id,period,start_event,end_event,start_time,end_time,home_lineup,away_lineup,home_3pt_made,home_points,home_assists,home_def_rebounds,home_fouls,home_2pt_made,home_turnovers,home_ft_made,home_off_rebounds,away_def_rebounds,away_2pt_made,away_points,away_assists,away_3pt_made,away_steals,away_fouls,away_blocks,away_off_rebounds,duration,home_steals,away_turnovers,home_blocks,away_ft_made
0022301179,4,533,541,8:02,7:35,"('Aaron Wiggins', 'Cason Wallace', 'Gordon Hayward', 'Jalen Williams', 'Jaylin Williams', 'Kenrich Williams')","('Andre Jackson Jr.', 'Chris Livingston', 'Danilo Gallinari', 'Jae Crowder', 'Malik Beasley', 'TyTy Washington Jr.')",,2.0,,,1.0,1.0,,,,,,1.0,,,,,,,27,,,,1.0
0022301179,4,541,554,7:35,6:56,"('Aaron Wiggins', 'Cason Wallace', 'Gordon Hayward', 'Jalen Williams', 'Jaylin Williams', 'Kenrich Williams')","('Andre Jackson Jr.', 'Chris Livingston', 'Danilo Gallinari', 'Malik Beasley', 'MarJon Beauchamp', 'TyTy Washington Jr.')",,2.0,1.0,,,1.0,,,,1.0,,1.0,,,,1.0,,,39,1.0,1.0,,1.0
0022301179,4,554,563,6:56,6:22,"('Aaron Wiggins', 'Cason Wallace', 'Gordon Hayward', 'Jalen Williams', 'Jaylin Williams', 'Kenrich Williams')","('Andre Jackson Jr.', 'Chris Livingston', 'Malik Beasley', 'MarJon Beauchamp', 'Thanasis Antetokounmpo', 'TyTy Washington Jr.')",,2.0,,,,,,2.0,,,,,,,,1.0,,,34,,,,
0022301179,4,563,564,6:22,6:22,"('Aaron Wiggins', 'Cason Wallace', 'Gordon Hayward', 'Jaylin Williams', 'Kenrich Williams', 'Lindy Waters III')","('Andre Jackson Jr.', 'Chris Livingston', 'Malik Beasley', 'MarJon Beauchamp', 'Thanasis Antetokounmpo', 'TyTy Washington Jr.')",,,,,,,,,,,,,,,,,,,0,,,,
0022301179,4,564,581,6:22,5:12,"('Aaron Wiggins', 'Cason Wallace', 'Jaylin Williams', 'Kenrich Williams', 'Lindy Waters III')","('Andre Jackson Jr.', 'Chris Livingston', 'Malik Beasley', 'MarJon Beauchamp', 'Thanasis Antetokounmpo', 'TyTy Washington Jr.')",,3.0,1.0,1.0,,1.0,,1.0,,1.0,2.0,4.0,1.0,,,,,,70,,,,
0022301179,4,581,596,5:12,3:39,"('Aaron Wiggins', 'Cason Wallace', 'Jaylin Williams', 'Kenrich Williams', 'Lindy Waters III', 'Ousmane Dieng')","('Andre Jackson Jr.', 'Chris Livingston', 'Malik Beasley', 'MarJon Beauchamp', 'Thanasis Antetokounmpo', 'TyTy Washington Jr.')",3.0,9.0,3.0,1.0,,,,,,,,3.0,1.0,1.0,,,,,93,,,,
0022301179,4,596,597,3:39,3:39,"('Aaron Wiggins', 'Jaylin Williams', 'Kenrich Williams', 'Lindy Waters III', 'Olivier Sarr', 'Ousmane Dieng')","('Andre Jackson Jr.', 'Chris Livingston', 'Malik Beasley', 'MarJon Beauchamp', 'Thanasis Antetokounmpo', 'TyTy Washington Jr.')",,,,,,,,,,,,,,,,,,,0,,,,
0022301179,4,597,598,3:39,3:39,"('Aaron Wiggins', 'Jaylin Williams', 'Lindy Waters III', 'Mike Muscala', 'Olivier Sarr', 'Ousmane Dieng')","('Andre Jackson Jr.', 'Chris Livingston', 'Malik Beasley', 'MarJon Beauchamp', 'Thanasis Antetokounmpo', 'TyTy Washington Jr.')",,,,,,,,,,,,,,,,,,,0,,,,
0022301179,4,598,634,3:39,0:00,"('Aaron Wiggins', 'Jaylin Williams', 'Lindy Waters III', 'Mike Muscala', 'Olivier Sarr', 'Ousmane Dieng')","('Chris Livingston', 'Malik Beasley', 'MarJon Beauchamp', 'Ryan Rollins', 'Thanasis Antetokounmpo', 'TyTy Washington Jr.')",1.0,5.0,1.0,1.0,,1.0,4.0,,,3.0,5.0,13.0,3.0,1.0,4.0,,1.0,1.0,219,,1.0,,
0022301175,1,2,53,12:00,6:44,"('Donte DiVincenzo', 'Jalen Brunson', 'Jericho Sims', 'Josh Hart', 'OG Anunoby')","('Cam Thomas', 'Mikal Bridges', 'Nic Claxton', 'Noah Clowney', 'Trendon Watford')",1.0,5.0,1.0,2.0,2.0,1.0,1.0,,1.0,4.0,4.0,11.0,4.0,1.0,,,,4.0,316,,,,
