game_id,period,start_event,end_event,start_time,end_time,home_lineup,away_lineup,home_3pt_made,home_points,home_assists,home_def_rebounds,home_fouls,home_2pt_made,home_turnovers,home_ft_made,home_off_rebounds,away_def_rebounds,away_2pt_made,away_points,away_assists,away_3pt_made,away_steals,away_fouls,away_blocks,away_off_rebounds,duration,home_steals,away_turnovers,home_blocks,away_ft_made
0012300067,3,363,373,7:24,6:56,"('Anthony Black', 'Caleb Houstan', 'Chuma Okeke', 'Goga Bitadze', 'Jett Howard')","('Didi Louzada', 'Felipe Motta', 'Franco Balbi', 'Maique Tavares', 'Martin Cuello')",,,,,2.0,,,,,,1.0,2.0,,,,1.0,,,28,,,,
0012300067,3,373,396,6:56,5:31,"('Anthony Black', 'Caleb Houstan', 'Chuma Okeke', 'Goga Bitadze', 'Jett Howard')","('Didi Louzada', 'Felipe Motta', 'Franco Balbi', 'Gabriel Jau', 'Maique Tavares', 'Martin Cuello')",,4.0,,,,,1.0,4.0,1.0,,2.0,4.0,1.0,,1.0,3.0,,,85,,,,
0012300067,3,396,416,5:31,3:49,"('Anthony Black', 'Caleb Houstan', 'Chuma Okeke', 'Goga Bitadze', 'Jett Howard')","('Felipe Motta', 'Franco Balbi', 'Gabriel Jau', 'Gui Deodato', 'Maique Tavares', 'Martin Cuello')",,2.0,,1.0,1.0,1.0,2.0,,,1.0,2.0,4.0,2.0,,1.0,,,,102,1.0,1.0,,
0012300067,3,416,417,3:49,3:49,"('Anthony Black', 'Chuma Okeke', 'Goga Bitadze', 'Jett Howard', 'Trevelin Queen')","('Felipe Motta', 'Franco Balbi', 'Gabriel Jau', 'Gui Deodato', 'Maique Tavares', 'Martin Cuello')",,,,,,,,,,,,,,,,,,,0,,,,
0012300067,3,417,418,3:49,3:49,"('Anthony Black', 'Daeqwon Plowden', 'Goga Bitadze', 'Jett Howard', 'Trevelin Queen')","('Felipe Motta', 'Franco Balbi', 'Gabriel Jau', 'Gui Deodato', 'Maique Tavares', 'Martin Cuello')",,,,,,,,,,,,,,,,,,,0,,,,
0012300067,3,418,437,3:49,2:37,"('Admiral Schofield', 'Anthony Black', 'Daeqwon Plowden', 'Jett Howard', 'Trevelin Queen')","('Felipe Motta', 'Franco Balbi', 'Gabriel Jau', 'Gui Deodato', 'Maique Tavares', 'Martin Cuello')",,4.0,,,2.0,2.0,,,,1.0,1.0,3.0,,,,,,,72,1.0,1.0,,1.0
0012300067,3,437,444,2:37,2:20,"('Admiral Schofield', 'Anthony Black', 'Daeqwon Plowden', 'Jett Howard', 'Trevelin Queen')","('Felipe Motta', 'Franco Balbi', 'Gabriel Jau', 'Gui Deodato', 'Martin Cuello', 'Olivinha  ')",,1.0,,,,,,1.0,,,,1.0,,,,1.0,,,17,,,,1.0
0012300067,3,444,445,2:20,2:20,"('Admiral Schofield', 'Anthony Black', 'Daeqwon Plowden', 'Jett Howard', 'Trevelin Queen')","('Didi Louzada', 'Felipe Motta', 'Franco Balbi', 'Gui Deodato', 'Martin Cuello', 'Olivinha  ')",,,,,,,,,,,,,,,,,,,0,,,,
0012300067,3,445,489,2:20,10:46,"('Admiral Schofield', 'Anthony Black', 'Daeqwon Plowden', 'Jett Howard', 'Trevelin Queen')","('Didi Louzada', 'Franco Balbi', 'Gui Deodato', 'Maique Tavares', 'Martin Cuello', 'Olivinha  ')",,3.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,5.0,,3.0,,1.0,1.0,,,,214,2.0,3.0,,
0012300067,4,489,508,10:46,9:29,"('Admiral Schofield', 'Anthony Black', 'Daeqwon Plowden', 'Jett Howard', 'Trevelin Queen')","('Didi Louzada', 'Franco Balbi', 'Maique Tavares', 'Martin Cuello', 'Olivinha  ')",,5.0,,1.0,,2.0,,1.0,,,,,,,,1.0,,1.0,77,1.0,1.0,,
