game_id,player,period,start_event,end_event,start_time,end_time,home_lineup,away_lineup,def_rebounds,assists,3pt_made,points,2pt_made,fouls,off_rebounds,ft_made,turnovers,steals
,Pascal Siakam,1,79,96,6:49,5:10,"('Andrew Nembhard', 'Ben Sheppard', 'Jalen Smith', 'Pascal Siakam', 'Tyrese Haliburton')","('Bogdan Bogdanović', ""De'Andre Hunter"", 'Dejounte Murray', 'Mouhamed Gueye', 'Trae Young')",1.0,,,2.0,1.0,,,,,
,Ben Sheppard,1,96,112,5:10,3:39,"('Ben Sheppard', 'Jalen Smith', 'Pascal Siakam', 'T.J. McConnell', 'Tyrese Haliburton')","('Bogdan Bogdanović', ""De'Andre Hunter"", 'Garrison Mathews', 'Mouhamed Gueye', 'Trae Young')",,,,,,1.0,,,,
,Bogdan Bogdanović,1,96,112,5:10,3:39,"('Ben Sheppard', 'Jalen Smith', 'Pascal Siakam', 'T.J. McConnell', 'Tyrese Haliburton')","('Bogdan Bogdanović', ""De'Andre Hunter"", 'Garrison Mathews', 'Mouhamed Gueye', 'Trae Young')",,,1.0,3.0,,,,,,
,Trae Young,1,96,112,5:10,3:39,"('Ben Sheppard', 'Jalen Smith', 'Pascal Siakam', 'T.J. McConnell', 'Tyrese Haliburton')","('Bogdan Bogdanović', ""De'Andre Hunter"", 'Garrison Mathews', 'Mouhamed Gueye', 'Trae Young')",,2.0,,,,,,,,
,T.J. McConnell,1,96,112,5:10,3:39,"('Ben Sheppard', 'Jalen Smith', 'Pascal Siakam', 'T.J. McConnell', 'Tyrese Haliburton')","('Bogdan Bogdanović', ""De'Andre Hunter"", 'Garrison Mathews', 'Mouhamed Gueye', 'Trae Young')",,,,2.0,1.0,,,,,
,Mouhamed Gueye,1,96,112,5:10,3:39,"('Ben Sheppard', 'Jalen Smith', 'Pascal Siakam', 'T.J. McConnell', 'Tyrese Haliburton')","('Bogdan Bogdanović', ""De'Andre Hunter"", 'Garrison Mathews', 'Mouhamed Gueye', 'Trae Young')",1.0,,,2.0,1.0,,,,,
,De'Andre Hunter,1,96,112,5:10,3:39,"('Ben Sheppard', 'Jalen Smith', 'Pascal Siakam', 'T.J. McConnell', 'Tyrese Haliburton')","('Bogdan Bogdanović', ""De'Andre Hunter"", 'Garrison Mathews', 'Mouhamed Gueye', 'Trae Young')",,,,1.0,,,,1.0,,
,De'Andre Hunter,1,116,117,3:39,3:22,"('Ben Sheppard', 'Jalen Smith', 'Pascal Siakam', 'T.J. McConnell', 'Tyrese Haliburton')","('Bogdan Bogdanović', ""De'Andre Hunter"", 'Garrison Mathews', 'Mouhamed Gueye', 'Trae Young')",,,,1.0,,,,1.0,,
,Jalen Smith,1,117,128,3:22,2:30,"('Aaron Nesmith', 'Ben Sheppard', 'Jalen Smith', 'Obi Toppin', 'T.J. McConnell')","('Bogdan Bogdanović', ""De'Andre Hunter"", 'Garrison Mathews', 'Mouhamed Gueye', 'Trae Young')",,,,2.0,1.0,,1.0,,,
,Mouhamed Gueye,1,117,128,3:22,2:30,"('Aaron Nesmith', 'Ben Sheppard', 'Jalen Smith', 'Obi Toppin', 'T.J. McConnell')","('Bogdan Bogdanović', ""De'Andre Hunter"", 'Garrison Mathews', 'Mouhamed Gueye', 'Trae Young')",,,,2.0,1.0,,,,,
,Trae Young,1,117,128,3:22,2:30,"('Aaron Nesmith', 'Ben Sheppard', 'Jalen Smith', 'Obi Toppin', 'T.J. McConnell')","('Bogdan Bogdanović', ""De'Andre Hunter"", 'Garrison Mathews', 'Mouhamed Gueye', 'Trae Young')",,1.0,,,,,,,,
,T.J. McConnell,1,117,128,3:22,2:30,"('Aaron Nesmith', 'Ben Sheppard', 'Jalen Smith', 'Obi Toppin', 'T.J. McConnell')","('Bogdan Bogdanović', ""De'Andre Hunter"", 'Garrison Mathews', 'Mouhamed Gueye', 'Trae Young')",,,,2.0,1.0,,,,,
,Aaron Nesmith,1,117,128,3:22,2:30,"('Aaron Nesmith', 'Ben Sheppard', 'Jalen Smith', 'Obi Toppin', 'T.J. McConnell')","('Bogdan Bogdanović', ""De'Andre Hunter"", 'Garrison Mathews', 'Mouhamed Gueye', 'Trae Young')",,1.0,,,,,,,,
